ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Makar Pet rail hàng rào quây,1,0,visible,"												<p>Kích thước 1 tấm: 71cm×71cm×49.5cm x 6 tấm</p></br>
<p> </p></br>											","<p>Makar pet rail is a special design for training puppies to designated defecation indoors. The rail is made up of rail leaves and connecting rods. You can use different numbers of rail leaves to build different rails as you need. Put the pet’s bowl and pet’s lavatory to training puppies to designated defecation indoors.</p></br>
<p>●   Makar pet rail is made of high quality PP plastic. The product never fade and deformation.<br />
●   Special design for puppies, help the owner to training puppies to designated defecation indoor.<br />
●   You can assembly the rail into any size or shape base on the situation of your room space.<br />
●   Large size of grid, no top on the rail, the puppies will not feel loneliness in it<br />
●   Cooperate with Makar multi-use puppy’s grid lavatory and pets bowl will have a better effect.<br />
●   Convenient assemble, tool-free design, you will get an elegant pets training rail as long as insert the rod.</p></br>",,,taxable,,1,,0,0,,,,,1,,,1150000,Chó > CHUNG | Nhà - Nệm - Chuồng,,,http://bizweb.dktcdn.net/100/092/797/products/201501252301292079.jpg,,,,,,,,Mua ngay!,0
,simple,,Rào quây Iris CLS-960 | Dog indoor fence | 犬室内フェンス,1,0,visible,"												<p>Bộ rào dùng trong nhà dành cho chó nhỏ</p></br>
<p>Kích thước: 96 x 63 x 60 (cm)</p></br>
<p>Kết cấu cửa lùa tiện lợi, khóa thiết kế chắc chắn tránh cún tự mở</p></br>
<p>Sản phẩm thuộc Iris - Nhật Bản</p></br>											","<p><b>カラーサークル CLS-960<br />
<br />
送料無料 犬 サークル ケージ ゲージ ゲート オシャレ 小型犬用 トレー付き 屋内用 室内用 アイリスオーヤマ 犬用 ペット用品 ピンク イエロー グリーン ブルー【D】</b></p></br>
<p>カラフルな支柱がポイントのカジュアルでかわいらしいサークルです。<br />
まるみのあるやわらかなフォルムとカラーでインテリアにマッチします。<br />
開閉がスムーズなスライドドアを採用。開いたドアが邪魔になりません。<br />
別売の専用メッシュ屋根を付ければ、<br />
ケージとしても使用でき、お留守番にも大変便利です。<br />
<br />
●商品サイズ（cm）：幅約92×奥行約63×高さ約60<br />
●入口サイズ（cm）：幅約33.5×高さ約52.6<br />
●トレー内寸（cm）：幅約81.5×奥行約51.5<br />
●主要材質<br />
線材：スチール（エポキシ粉体塗装）<br />
トレー：PVC<br />
ロック・支柱：ABS樹脂<br />
●適応犬サイズ：幼犬、小型犬（目安） <br />
<br />
<br />
★<a href=""http://item.rakuten.co.jp/dogland/331234"">お得なカラーサークルセット</a>はこちら</p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/c3.jpg?v=1470284606041"" /></p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/t2yiwpxnjxxxxxxxxx-757619970.jpg?v=1470284685872"" /></p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/thumb/2048x2048/100/092/797/files/tb28kdzapxxxxahxxxxxxxxxxxx-2074573805.jpg?v=1470284743628"" /></p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/c1.jpg?v=1470284864844"" /></p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/c2.jpg?v=1470284911557"" /></p></br>
<p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/ff6906da5703f50abe05e28437d20111f8a4e102-85-1-8-2.jpg?v=1470284944447"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,1770000,Chó > CHUNG | Nhà - Nệm - Chuồng,,,http://bizweb.dktcdn.net/100/092/797/products/225899-2-e.jpg,,,,,,,,Mua ngay!,0
,simple,,Hàng rào quây cho Chó Purmi Magic Fence 12 tấm,1,0,visible,"																							","<p style=""text-align: center;""><img data-thumb=""original"" original-height=""1989"" original-width=""702"" src=""//bizweb.dktcdn.net/100/092/797/files/fence-12p.jpg?v=1504326100841"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,630000,Chó > CHUNG | Nhà - Nệm - Chuồng,,,http://bizweb.dktcdn.net/100/092/797/products/19-shop1-141949.jpg,,,,,,,,Mua ngay!,0
