ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Gimcat Malt-soft Gel trị & ngừa búi lông ở ruột mèo 50g | Maltsoft Paste Extra (anti-hairball),1,0,visible,"												<p>Gel trị & phòng ngừa hairball (búi lông) ở ruột mèo<br />
Bổ sung dưỡng chất làm đẹp da lông<br />
Không chứa đường<br />
Sản xuất tại Đức - Made in Germany</p></br>											","<p><img alt="""" src=""http://www.gimcat.info/files/gimpet/img/page_elements/logo_gimpet_big.png"" style=""width: 139px; height: 63px;"" /></p></br>
<div class=""ce_text block"" style=""overflow: hidden; color: rgb(1, 1, 1); font-family: 'Open Sans', arial, sans-serif; background-color: rgb(255, 255, 255);"">
<h2 style=""font-size: 20px; margin: 0px 0px 0.35em; font-weight: 300; line-height: 1.3em; border-bottom-width: 1px; border-bottom-style: solid; border-bottom-color: rgb(255, 221, 0); padding-bottom: 7px;"">Malt Soft Paste Extra</h2></br>
<p style=""margin: 0px 0px 1em; padding: 0px; line-height: 1.5;"">+ extra dietary fibre</p></br>
<p style=""margin: 0px 0px 1em; padding: 0px; line-height: 1.5;"">Supports the natural passing of swallowed hair.<br />
No added sugar</p></br>
<p style=""margin: 0px 0px 1em; padding: 0px; line-height: 1.5;"">GimCat Malt Soft Extra contains natural, flavoursome malt and vegetable oil. In combination with dietary fibres, Malt Soft Extra supports the transport of nutrition as well as the natural passing of swallowed hair and indigestible components.</p></br>
