ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Nhà vệ sinh bán nguyệt 60*50*25cm,1,0,visible,"																							","<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""800"" original-width=""800"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2csvtbolnpufjszfjxxxtavxa-3328941386.jpg?v=1523586844746"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""800"" original-width=""800"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2ixwzwrxlpufjsszfxxcsgxxa-3328941386.jpg?v=1523586867390"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""800"" original-width=""800"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2j8eybipnpufjszfkxxc4zpxa-3328941386.jpg?v=1523586889628"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""800"" original-width=""800"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2qilhwwjkpufjsszcxxxfsfxa-3328941386.jpg?v=1523587027831"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""533"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2fwdebbbnpufjszfgxxx51pxa-3328941386.jpg?v=1523587133742"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""494"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/7801807833-252378912-fb5e1f62-93f7-4d2d-a686-e68bce98580a.jpg?v=1523587209802"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""864"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/tb2u8g6bhlmpufjszpfxxc9ixxa-3328941386.jpg?v=1523587224841"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,620000,Mèo > Khay vệ sinh cho Mèo,,,http://bizweb.dktcdn.net/100/092/797/products/tb2qilhwwjkpufjsszcxxxfsfxa-3328941386-jpg-430x430q90.jpg,,,,,,,,Mua ngay!,0
,simple,,Nhà vệ sinh tròn cửa trên 47*35cm,1,0,visible,"																							","<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""528"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/1-36d1620f-dd3c-4df3-aef7-a07c8f3993d1.png?v=1523586502380"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""529"" original-width=""788"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/2-52384be5-b5bd-4fd9-8963-41296ed721c4.png?v=1523586513984"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""531"" original-width=""790"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/3-3bb14341-f1e2-442a-8c58-3bba199f8f61.png?v=1523586525086"" /></p></br>
