ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,CIAO churu SC-129 cá ngừ & sò điệp 14gx20,1,0,visible,"												<p>Snack dạng súp dành cho mèo</p></br>
<p>Thành phần 100% tự nhiên với 91% độ ẩm tốt cho sức khỏe</p></br>
<p>Giúp các bé ăn ngon miệng hơn, có thể bổ sung thêm vào bữa ăn chính kích thích ngon miệng</p></br>
<p>Sản phẩm của Inaba Nhật Bản</p></br>											","<h3 class=""itemTit"" style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; font-weight:600; line-height:1.6; color:#663300; margin:0px 0px 10px; font-size:14px; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; letter-spacing:normal; orphans:2; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; text-decoration-style:initial; text-decoration-color:initial; padding:2px 10px; list-style-type:none; background:url(""/img/item/item_title_bg.png"") left center repeat-x #ffffee; position:relative; border-radius:5px; text-align:left""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">Thông tin sản phẩm</font></font></h3></br> <table style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; border-spacing:0px; border-collapse:collapse; background-color:#ffffee; margin:0px 0px 20px; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; font-weight:normal; letter-spacing:normal; orphans:2; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; text-decoration-style:initial; text-decoration-color:initial; padding:0px; color:#444444; font-size:12.8px; line-height:20.48px; list-style-type:none; width:430px; text-align:left; border:1px solid #ffffff""> <tbody style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">Thành phần</font></font></th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">Cá ngừ, chiết xuất sò điệp, đường (oligosaccharides, vv), dầu thực vật, chất làm đặc (tinh bột biến đổi), chất làm dày polysaccharides, khoáng chất, gia vị (chẳng hạn như axit amin), vitamin E, chiết xuất trà xanh, men đỏ</font></font></td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984"">Dinh dưỡng</th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">protein thô 7,0% trở lên, chất béo thô 0,2% trở lên, 0,1% chất xơ thô, 1,7% tro thô, độ ẩm 91,0% hoặc ít hơn, khoảng 7 kcal</font></font></td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984"">Đóng gói</th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">14g × 20 gói nhỏ</font></font></td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984"">Hạn sử dụng</th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">2 năm</font></font></td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984""><span style=""font-size:11px""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif !important""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif !important""><span style=""display:block""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif !important""><span style=""font-weight:100""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif !important""><span style=""color:#ecdcc8""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif !important""><span style=""line-height:17px""><span style=""box-sizing:border-box""><span style=""font-family:Helvetica, Arial, ""Hiragino Kaku Gothic ProN"", ""ヒラギノ角ゴ ProN W3"", Meiryo, メイリオ, sans-serif""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">Mã Vạch</font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">4901133720420</font></font></td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:Meiryo, ""ＭＳ Ｐゴシック"", Osaka, appleLogo, Helvetica, Arial, sans-serif; padding:8px; text-align:left; margin:0px; color:#ffffff; font-size:1em; line-height:17px; list-style-type:none; font-style:normal; font-weight:900; vertical-align:middle; white-space:nowrap; width:8em; border:1px solid #ffffff; background-color:#c9a984"">Mã số</th> 	<td style=""list-style-type:none; width:350px; border:1px solid #ffffff""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px; color:#444444; font-size:1em; line-height:1.6; vertical-align:top; background-color:#ffffee""><font style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important"">SC-129</font></font></td> </tr> </tbody></table> <p style=""margin:initial; text-align:start; -webkit-text-stroke-width:0px""><span style=""font-size:14px""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif""><span style=""line-height:1.8""><span style=""color:#555555""><span style=""font-style:normal""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""font-weight:400""><span style=""letter-spacing:normal""><span style=""orphans:2""><span style=""text-transform:none""><span style=""white-space:normal""><span style=""widows:2""><span style=""word-spacing:0px""><span style=""background-color:#ffffff""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial"">----------------------------------------------------------</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p></br> <h1 style=""margin:initial; text-align:start; -webkit-text-stroke-width:0px""><span style=""font-size:initial""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif""><span style=""font-weight:600""><span style=""line-height:1.5""><span style=""color:#444444""><span style=""font-style:normal""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""letter-spacing:normal""><span style=""orphans:2""><span style=""text-transform:none""><span style=""white-space:normal""><span style=""widows:2""><span style=""word-spacing:0px""><span style=""background-color:#ffffff""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial"">CIAO ちゅ～る</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></h1></br> <h2 style=""box-sizing:border-box; font-family:""#265D33"", sans-serif; font-weight:600; line-height:1.5; color:#444444; margin:initial; font-size:initial; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; letter-spacing:normal; orphans:2; text-align:start; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; background-color:#ffffff; text-decoration-style:initial; text-decoration-color:initial"">20本　まぐろ　ほたてミックス味</h2></br> <p style=""margin:initial; text-align:start; -webkit-text-stroke-width:0px""><span style=""font-size:14px""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif""><span style=""line-height:1.8""><span style=""color:#555555""><span style=""font-style:normal""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""font-weight:400""><span style=""letter-spacing:normal""><span style=""orphans:2""><span style=""text-transform:none""><span style=""white-space:normal""><span style=""widows:2""><span style=""word-spacing:0px""><span style=""background-color:#ffffff""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial"">液状おやつです。舐めて食べられるので、子猫や高齢猫ちゃんも食べやすいおやつです。</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p></br> <p style=""margin:initial; text-align:start; -webkit-text-stroke-width:0px""><span style=""font-size:14px""><span style=""box-sizing:border-box""><span style=""font-family:""#265D33"", sans-serif""><span style=""line-height:1.8""><span style=""color:#555555""><span style=""font-style:normal""><span style=""font-variant-ligatures:normal""><span style=""font-variant-caps:normal""><span style=""font-weight:400""><span style=""letter-spacing:normal""><span style=""orphans:2""><span style=""text-transform:none""><span style=""white-space:normal""><span style=""widows:2""><span style=""word-spacing:0px""><span style=""background-color:#ffffff""><span style=""text-decoration-style:initial""><span style=""text-decoration-color:initial"">まぐろ・ほたてミックス味が20本入っています。</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p></br> <ul style=""box-sizing:border-box; font-family:""#265D33"", sans-serif; margin:initial; padding:0px 0px 0px 40px; color:#555555; font-size:14px; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; font-weight:400; letter-spacing:normal; orphans:2; text-align:start; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; background-color:#ffffff; text-decoration-style:initial; text-decoration-color:initial""> <li style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px""><img alt=""CIAO ちゅ～る 20本　まぐろ　ほたてミックス味"" src=""http://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1254.jpg"" style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; border:0px; vertical-align:middle; max-width:100%"" /></li> <li style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; margin:0px; padding:0px""><img alt=""CIAO ちゅ～る 20本　まぐろ　ほたてミックス味"" src=""http://www.inaba-petfood.co.jp/img/product/thumb/food/F_1254.jpg"" style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; border:0px; vertical-align:middle; max-width:100%"" /></li></ul> <h3 style=""box-sizing:border-box; font-family:""#265D33"", sans-serif; font-weight:600; line-height:1.5; color:#444444; margin:initial; font-size:initial; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; letter-spacing:normal; orphans:2; text-align:start; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; background-color:#ffffff; text-decoration-style:initial; text-decoration-color:initial"">商品情報</h3></br> <table style=""box-sizing:border-box; font-family:""#265D33"", sans-serif; border-spacing:0px; border-collapse:collapse; background-color:#ffffff; margin:initial; color:#555555; font-size:14px; font-style:normal; font-variant-ligatures:normal; font-variant-caps:normal; font-weight:400; letter-spacing:normal; orphans:2; text-align:start; text-transform:none; white-space:normal; widows:2; word-spacing:0px; -webkit-text-stroke-width:0px; text-decoration-style:initial; text-decoration-color:initial; border:undefined""> <tbody style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">原材料Ingredients</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">まぐろ、ほたてエキス、糖類（オリゴ糖等）、植物性油脂、増粘剤（加工でん粉）、増粘多糖類、ミネラル類、調味料（アミノ酸等）、ビタミンＥ、緑茶エキス、紅麹色素</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">形状Type</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">ペースト</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">保証成分値Nutriton Facts</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">粗たん白質７．０％以上、粗脂肪０．２％以上、粗繊維０．１％以下、粗灰分１．７％以下、水分９１．０％以下、約７ｋｃａｌ／本</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">内容量Content</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">14g×20本</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">標準小売価格Retail prices</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">オープン価格</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">賞味期限Shelflife</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">2年</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">JAN(単品)Bar Code</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">4901133720420</td> </tr> <tr style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important""> 	<th style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; text-align:left"">背番号CODE Number</th> 	<td style=""box-sizing:border-box; font-family:""#265D33"", sans-serif !important; padding:0px; background-color:#ffffff"">SC-129</td> </tr> </tbody></table>",,,taxable,,1,,0,0,,,,,1,,,155000,Mèo > MÈO - Bánh thưởng | Snacks,,,http://bizweb.dktcdn.net/100/092/797/products/sc-129.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao churu SC-193 14gx20 Bonito,1,0,visible,"												<p>Snack liếm Ciao churu vị cá ngừ bonito</p></br><p>Gói gồm 20 gói nhỏ 14g (14gx20)</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h3>CIAO ちゅ～る<br />とりささみ　かつお節ミックス味</h3></br><p>液状おやつです。舐めて食べられるので、子猫や高齢猫ちゃんも食べやすいおやつです。</p></br><p>たっぷり20本入り。</p></br><ul><li><img alt=""CIAO ちゅ～る とりささみ　かつお節ミックス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1577.jpg"" /></li><li><img alt=""CIAO ちゅ～る とりささみ　かつお節ミックス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1577.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>鶏肉（ささみ）、かつお節エキス、糖類（オリゴ糖等）、植物性油脂、増粘剤（加工でん粉）、増粘多糖類、ミネラル類、調味料（アミノ酸等）、ビタミンＥ、緑茶エキス、紅麹色素</td></tr><tr>	<th>形状Type</th>	<td>スープタイプ</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>たんぱく質 7.0%以上､脂質 0.2%以上､粗繊維 0.1%以下､灰分 1.7%以下､水分 91.0以下､約7kcal/本</td></tr><tr>	<th>内容量Content</th>	<td>14g×20本</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133720512</td></tr><tr>	<th>背番号CODE Number</th>	<td>SC-193</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,155000,Mèo > MÈO - Bánh thưởng | Snacks,,,http://bizweb.dktcdn.net/100/092/797/products/sc-193.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao churu SC-192 14gx20 Fiber,1,0,visible,"												<p>Snack liếm Ciao churu vị rau xanh thực vật chứa chất xơ</p></br><p>Gói gồm 20 gói nhỏ 14g (14gx20)</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>CIAO ちゅ～る</h1></br><h2>かつお　ほたてミックス味</h2></br><p>液状おやつです。舐めて食べられるので、子猫や高齢猫ちゃんも食べやすいおやつです。</p></br><p>たっぷり20本入り。</p></br><ul><li><img alt=""CIAO ちゅ～る かつお　ほたてミックス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1576.jpg"" /></li><li><img alt=""CIAO ちゅ～る かつお　ほたてミッ���ス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1576.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>かつお、ほたてエキス、糖類（オリゴ糖等）、植物性油脂、増粘剤（加工でん粉）、増粘多糖類、ミネラル類、調味料（アミノ酸等）、ビタミンＥ、緑茶エキス、紅麹色素</td></tr><tr>	<th>形状Type</th>	<td>スープタイプ</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>たんぱく質 7.0%以上､脂質 0.2%以上､粗繊維 0.1%以下､灰分 1.7%以下､水分 91.0以下､約7kcal/本</td></tr><tr>	<th>内容量Content</th>	<td>14g×20本</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133720505</td></tr><tr>	<th>背番号CODE Number</th>	<td>SC-192</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,155000,Mèo > MÈO - Bánh thưởng | Snacks,,,http://bizweb.dktcdn.net/100/092/797/products/sc-192.jpg,,,,,,,,Mua ngay!,0
,simple,,Ciao churu SC-192 14gx20 Mixed tuna,1,0,visible,"												<p>Snack liếm Ciao churu vị cá ngừ hỗn hợp</p></br><p>Gói gồm 20 gói nhỏ 14g (14gx20)</p></br><p>Sản phẩm của Inaba, Nhật Bản</p></br><p>Sản xuất tại nhà máy Thái Lan, nhập khẩu từ Inaba Thái Lan</p></br>											","<h1>CIAO ちゅ～る</h1></br><h2>まぐろ　本格だしミックス味</h2></br><p>液状おやつです。舐めて食べられるので、子猫や高齢猫ちゃんも食べやすいおやつです。</p></br><p>たっぷり20本入り。</p></br><ul><li><img alt=""CIAO ちゅ～る まぐろ　本格だしミックス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/package_detail/PD_1575.jpg"" /></li><li><img alt=""CIAO ちゅ～る まぐろ　本格だしミックス味"" src=""https://www.inaba-petfood.co.jp/img/product/thumb/food/F_1575.jpg"" /></li></ul><h3>商品情報</h3></br><table><tbody><tr>	<th>原材料Ingredients</th>	<td>まぐろ、かつお節エキス、ほたてエキス、昆布エキス、糖類（オリゴ糖等）、植物性油脂、増粘剤（加工でん粉）、増粘多糖類、ミネラル類、調味料（アミノ酸等）、ビタミンＥ、緑茶エキス、紅麹色素</td></tr><tr>	<th>形状Type</th>	<td>スープタイプ</td></tr><tr>	<th>保証成分値Nutriton Facts</th>	<td>たんぱく質 7.0%以上､脂質 0.2%以上､粗繊維 0.1%以下､灰分 1.7%以下､水分 91.0以下､約7kcal/本</td></tr><tr>	<th>内容量Content</th>	<td>14g×20本</td></tr><tr>	<th>標準小売価格Retail prices</th>	<td>オープン価格</td></tr><tr>	<th>賞味期限Shelflife</th>	<td>2年</td></tr><tr>	<th>JAN(単品)Bar Code</th>	<td>4901133720499</td></tr><tr>	<th>背番号CODE Number</th>	<td>SC-191</td></tr></tbody></table>",,,taxable,,1,,0,0,,,,,1,,,155000,Mèo > MÈO - Bánh thưởng | Snacks,,,http://bizweb.dktcdn.net/100/092/797/products/sc-191.jpg,,,,,,,,Mua ngay!,0
