ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Trixie Dog shampoo Honey 250ml Sữa tắm cho chó chiết xuất mật ong,1,0,visible,"												<p>Sữa tắm cho chó chiết xuất mật ong tự nhiên, giúp lồng dáng bóng & mượt mà</p></br>
<p>Sản phẩm của Trixie - Sản xuất & nhập khẩu từ Đức</p></br>											","<h1> </h1></br>
<h1>Honey Shampoo</h1></br>
<ul>
<li>supplies skin and coat with vital substances</li>
<li>antibacterial effects</li>
<li>very nutritious</li>
<li>also suitable for long-haired dogs</li></ul>
<p><br />
 </p></br>
<form id=""form_itemlist_"" method=""POST"" name=""form_itemlist_"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
	<td width=""19"">
	<p> </p></br></td>
	<td width=""45"">
	<p> </p></br></td>
	<td>
	<p>Item No.</p></br></td>
	<td>
	<p>Properties</p></br></td>
	<td align=""right"" width=""140"">
	<p> </p></br></td>
</tr>
<tr id=""item_2899"">
	<td align=""center"" width=""20""> </td>
	<td align=""center"" width=""40"">
	<p><img alt=""Honey Shampoo"" src=""https://www.trixie.de/userdata/mysydeshop/images/tumb_1/137647_40467.jpg"" /></p></br></td>
	<td width=""80"">
	<p>2899</p></br></td>
	<td width=""195"">
	<p>Contents: 250 ml</p></br></td>
	<td align=""right"" width=""90""> </td>
</tr>
</tbody></table></form>
<p> </p></br>",,,taxable,,1,,0,0,,,,,1,,,78000,Mèo > CHUNG | Sữa tắm - Xịt dưỡng,,,http://bizweb.dktcdn.net/100/092/797/products/71iql1nwxdl-sy679.jpg,,,,,,,,Mua ngay!,0
,simple,,Trixie Dog Shampoo Natural Oil 250ml Sữa tắm cho chó chiết xuất tinh dầu tự nhiên,1,0,visible,"												<p>Sữa tắm cho chó chiết xuất tinh dầu tự nhiên, giúp lồng dáng bóng & mượt mà</p></br>
<p>Sản phẩm của Trixie - Sản xuất & nhập khẩu từ Đức</p></br>											","<h1>Natural-Oil Shampoo</h1></br>
<ul>
<li>with high-quality oil extracted from macadamia nuts and sea buckthorn pulp as a natural alternative to mink oil</li>
<li>gives the coat a luxuriant and silky shine</li>
<li>very nutritious</li></ul>
<p> </p></br>
<p>This natural oil product is an animal-friendly alternative to mink oil. It proved persuasive in all tests and produced excellent results for combability, shine, luxuriance and smoothness. <br />
The special care effect is achieved by a high content of macadamia nut oil and sea buckthorn pulp oil.</p></br>",,,taxable,,1,,0,0,,,,,1,,,78000,Mèo > CHUNG | Sữa tắm - Xịt dưỡng,,,http://bizweb.dktcdn.net/100/092/797/products/137659-40470.jpg,,,,,,,,Mua ngay!,0
,simple,,Trixie Fresh 'n' Easy 200g Cat toilet Deodorizer Bột khử mùi chậu cát mèo,1,0,visible,"												<p>Bột khử mùi chậu cát vệ sinh của mèo.</p></br>
<p>Sử dụng:</p></br>
<ul>
	<li>Dọn sạch chất thải của mèo trong chậu cát</li>
	<li>Đổ 1 lớp bột lên mặt cát sạch</li>
	<li>Dùng xẻng trộn đều để bột thấm hút và khử mùi chất thải tốt hơn</li>
</ul>											","<p>Bột khử mùi chậu cát vệ sinh của mèo.</p></br>
<p>Sử dụng:</p></br>
<ul>
<li>Dọn sạch chất thải của mèo trong chậu cát</li>
<li>Đổ 1 lớp bột lên mặt cát sạch</li>
<li>Dùng xẻng trộn đều để bột thấm hút và khử mùi chất thải tốt hơn</li></ul>
<p>Bảo quản nơi khô ráo, sạch sẽ. </p></br>
<p>Sản xuất & nhập khẩu từ Đức (Made in Germany)</p></br>",,,taxable,,1,,0,0,,,,,1,,,80000,Mèo > CHUNG | Sữa tắm - Xịt dưỡng,,,http://bizweb.dktcdn.net/100/092/797/products/trixie-hajunpoistopulveri.jpg,,,,,,,,Mua ngay!,0
,simple,,Trixie Cat Shampoo 250ml Sữa tắm cho mèo,1,0,visible,"												<p>Sữa tắm dành cho mọi giống mèo</p></br>
<p>Làm sạch & chăm sóc da lông</p></br>
<p>Sản xuất & nhập khẩu từ Đức</p></br>											","<h1>Sữa tắm dành cho mèo</h1></br>
<ul>
<li>Chăm sóc da lông với công thức đặc biệt dành cho mọi giống mèo</li></ul>
<h1>Cat Shampoo</h1></br>
<ul>
<li>special care product to revitalise the coat</li></ul>",,,taxable,,1,,0,0,,,,,1,,,78000,Mèo > CHUNG | Sữa tắm - Xịt dưỡng,,,http://bizweb.dktcdn.net/100/092/797/products/d1e471eb40edb0334169437235ca.jpg,,,,,,,,Mua ngay!,0
,simple,,Trixie Cat Long hair Shampoo 250ml Sữa tắm cho mèo lông dài,1,0,visible,"												<h1><span style=font-size:14px;>Sữa tắm cho mèo lông dài. Sản xuất tại Đức</span></h1></br>
<ul>
	<li>Dễ dàng sử dụng khi tắm</li>
	<li>Dành cho mèo Lông dài</li>
	<li>Làm mượt lông chống rối</li>
</ul>											","<h1>Sữa tắm cho mèo lông dài</h1></br>
<ul>
<li>Dễ dàng sử dụng khi tắm</li>
<li>Dành cho mèo Lông dài</li>
<li>Làm mượt lông chống rối</li></ul>
<h1>-----------------------</h1></br>
<h1>Cat Shampoo for Long Hair</h1></br>
<ul>
<li>eases combing</li>
<li>for long-haired cats</li>
<li>anti-tangling effects</li></ul>
<p> <br />
 </p></br>
<form id=""form_itemlist_"" method=""POST"" name=""form_itemlist_"">
<table border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
	<td width=""19"">
	<p> </p></br></td>
	<td width=""45"">
	<p> </p></br></td>
	<td>
	<p>Item No.</p></br></td>
	<td>
	<p>Properties</p></br></td>
	<td align=""right"" width=""140"">
	<p> </p></br></td>
</tr>
<tr id=""item_29191"">
	<td align=""center"" width=""20""> </td>
	<td align=""center"" width=""40"">
	<p><img alt=""Cat Shampoo for Long Hair"" src=""https://www.trixie.de/userdata/mysydeshop/images/tumb_1/124534_40482.jpg"" /></p></br></td>
	<td width=""80"">
	<p>29191</p></br></td>
	<td width=""195"">
	<p>Contents: 250 ml</p></br></td>
</tr>
</tbody></table></form>",,,taxable,,1,,0,0,,,,,1,,,78000,Mèo > CHUNG | Sữa tắm - Xịt dưỡng,,,http://bizweb.dktcdn.net/100/092/797/products/catshampoolonghair.png,,,,,,,,Mua ngay!,0
,simple,,Vet's Best tắm khô dạng xịt 120ml | Waterless cat bath 4 oz,1,0,visible,"																							","<ul>
	<li><font><font>Dầu gội dưỡng ẩm da và lông không dùng nước, giúp da lông nhanh khô & không gây ngứa</font></font></li>
	<li><font><font>Công thức với nguyên liệu tự nhiên (aloe vera, dầu neem, vitamin E và bột yến mạch) tạo hương thơm thư giãn dễ chịu và làm dịu da lông</font></font></li>
	<li><font><font>Giải pháp làm sạch nhanh chóng và dễ dàng để tắm mèo đối với những con mèo ghét bị ướt lông</font></font></li>
	<li><font><font>Dử dụng cho mèo 12 tuần tuổi trở lên, không làm ảnh hưởng đến các sản phẩm kiểm soát bọ chét trên mèo</font></font></li>
	<li><font><font>Được Bác sĩ thú y chế tạo và đề nghị sử dụng</font></font></li>
</ul>
<p><strong>VET'S BEST</strong></p></br>
<h1>Waterless Cat Bath, 4 OZ</h1></br>
<ul>
	<li>Vet's Best Waterless Cat Bath is a no-rinse foam cat shampoo that moisturizes skin and coat, while soothing dry skin and itching</li>
