ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,CATIDEA Cat Feeder - Bộ chén ăn & uống cho mèo,1,0,visible,"												<p>Bộ chén ăn và nước uống cao cấp dành cho mèo<br />
Sản phẩm có 4 màu: Kem - Hồng - Xanh dương - Xanh Aqua</p></br>											","<p style=""text-align: center;""><img alt="""" src=""http://media.bizwebmedia.net/sites/60443/data/Upload/2016/1/catidea_cf1_7.jpg"" style=""width: 700px; height: 664px;"" /></p></br>
<p style=""text-align: center;""><img alt="""" src=""http://media.bizwebmedia.net/sites/60443/data/Upload/2016/1/catidea_cf1_8.jpg"" style=""width: 700px; height: 875px;"" /></p></br>
<p style=""text-align: center;""><img alt="""" src=""http://media.bizwebmedia.net/sites/60443/data/Upload/2016/1/catidea_cf1_4.jpg"" style=""width: 500px; height: 500px;"" /></p></br>
<p style=""text-align: center;""><img alt="""" src=""http://media.bizwebmedia.net/sites/60443/data/Upload/2016/1/catidea_cf1_5.jpg"" style=""width: 500px; height: 500px;"" /><img alt="""" src=""http://media.bizwebmedia.net/sites/60443/data/Upload/2016/1/catidea_cf1.jpg"" style=""width: 700px; height: 700px;"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,290000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/4417507catidea-cf1-6.jpg,,,,,,,,Mua ngay!,0
,simple,,MAELSON 1.5L Feedo 060 Bình thức ăn hạt (600 - 1.5kg),1,0,visible,"												<p>Bình thức ăn hạt trực tiếp dành cho chó / mèo</p></br>
<p>Thiết kế & kết cấu chắc chắn, bình chất liệu mờ dễ theo dõi mực nước bên trong</p></br>
<p>Sản phẩm được thiết kế mửi Maelson (Đức) - Design in Germany</p></br>
<p>Dung tích: 1.5L (600g - 1.5kg), 2.5L (2 - 2.5kg)</p></br>
<p>Có thể sử dụng được trong máy rửa chén</p></br>											","<h1 style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide2.jpg?v=1502438632413"" /></h1></br>
<h1>FEEDO™ 060</h1></br>
<h2>Stylish gravity feed dispenser, provides nourishment <br />
for your dog and/or cat throughout the day </h2></br>
<ul>
<li>Translucent bottle enables monitoring of food level at a glance</li>
<li>Anti-skid rubber feet keep unit from sliding when knocked</li>
<li>Practical rear recess handle allows for easy pick-up for cleaning and/or refilling</li>
<li>Smooth inner & outer surfaces make the bowl and bottle easy to clean </li>
<li>Dishwasher safe </li>
<li><img data-thumb=""original"" original-height=""119"" original-width=""500"" src=""//bizweb.dktcdn.net/100/092/797/files/41ec7awdcvl.jpg?v=1502438294927"" /></li></ul>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide1.jpg?v=1502438653061"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide3.jpg?v=1502438675499"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""538"" original-width=""650"" src=""//bizweb.dktcdn.net/100/092/797/files/4260195041370-05.jpg?v=1502438864352"" /></p></br>
<p style=""text-align: center;""> </p></br>",,,taxable,,1,,0,0,,,,,1,,,180000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/t1a9xdfxtxxxxxxxxx-0-item-pic-jpg-600x600-copy.jpg,,,,,,,,Mua ngay!,0
,simple,,MAELSON 1.5L Aquaa 060 Bình uống nước,1,0,visible,"												<p>Bình đựng & uống nước trực tiếp dành cho chó / mèo</p></br>
<p>Thiết kế & kết cấu chắc chắn, bình chất liệu mờ dễ theo dõi mực nước bên trong</p></br>
<p>Sản phẩm được thiết kế mửi Maelson (Đức) - Design in Germany</p></br>
<p>Dung tích: 1.5L, 2.5L</p></br>
<p>Có thể dùng trong máy rửa chén</p></br>											","<h1 style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-2-860.jpg?v=1502437854870"" /></h1></br>
<h1>AQUAA™ 060 </h1></br>
<h2>Stylish gravity water dispenser, provides refreshment <br />
to your dog and /or cat throughout the day</h2></br>
<ul>
<li>Translucent bottle enables monitoring of water level at a glance</li>
<li>Anti-skid rubber feet keep unit from sliding and spilling when knocked</li>
<li>Practical rear recess handle allows for easy pick-up for cleaning and / or refilling</li>
<li>Smooth inner & outer surfaces make the bowl and bottle easy to clean</li>
<li>Dishwasher safe</li></ul>
<p style=""text-align: center;""> <img data-thumb=""original"" original-height=""119"" original-width=""500"" src=""//bizweb.dktcdn.net/100/092/797/files/41ec7awdcvl-a752360b-6764-4ff6-81be-7d84facdab91.jpg?v=1502439036111"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-1-860.jpg?v=1502438227185"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""//bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-3-860.jpg?v=1502438240600"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""456"" original-width=""500"" src=""//bizweb.dktcdn.net/100/092/797/files/51ivvn1sfll.jpg?v=1502438098073"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""500"" original-width=""500"" src=""//bizweb.dktcdn.net/100/092/797/files/121211-aquaa-04.jpg?v=1502438173039"" /></p></br>
<p style=""text-align: center;""> </p></br>",,,taxable,,1,,0,0,,,,,1,,,180000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/aqua-copy.jpg,,,,,,,,Mua ngay!,0
,simple,,MAELSON 2.5L Feedo 250 Bình thức ăn hạt (2 - 2.5kg),1,0,visible,"												<p>Bình thức ăn hạt trực tiếp dành cho chó / mèo</p></br>
<p>Thiết kế & kết cấu chắc chắn, bình chất liệu mờ dễ theo dõi mực nước bên trong</p></br>
<p>Sản phẩm được thiết kế mửi Maelson (Đức) - Design in Germany</p></br>
<p>Dung tích: 1.5L (600g - 1.5kg), 2.5L (2 - 2.5kg)</p></br>
<p>Có thể sử dụng được trong máy rửa chén</p></br>											","<h1 style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide2.jpg?v=1502438632413"" /></h1></br>
<h1>FEEDO™ 250</h1></br>
<h2>Stylish gravity feed dispenser, provides nourishment <br />
for your dog and/or cat throughout the day </h2></br>
<ul>
<li>Translucent bottle enables monitoring of food level at a glance</li>
<li>Anti-skid rubber feet keep unit from sliding when knocked</li>
<li>Practical rear recess handle allows for easy pick-up for cleaning and/or refilling</li>
<li>Smooth inner & outer surfaces make the bowl and bottle easy to clean </li>
<li>Dishwasher safe </li></ul>
<ul>
<li style=""text-align: center;""><img data-thumb=""original"" original-height=""119"" original-width=""500"" src=""https://bizweb.dktcdn.net/100/092/797/files/41ec7awdcvl.jpg?v=1502438294927"" /></li></ul>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide1.jpg?v=1502438653061"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/slide3.jpg?v=1502438675499"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""538"" original-width=""650"" src=""https://bizweb.dktcdn.net/100/092/797/files/4260195041370-05.jpg?v=1502438864352"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,270000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/t1a9xdfxtxxxxxxxxx-0-item-pic-jpg-600x600.jpg,,,,,,,,Mua ngay!,0
,simple,,MAELSON 2.5L Aquaa 250 Bình uống nước,1,0,visible,"												<p>Bình đựng & uống nước trực tiếp dành cho chó / mèo</p></br>
<p>Thiết kế & kết cấu chắc chắn, bình chất liệu mờ dễ theo dõi mực nước bên trong</p></br>
<p>Sản phẩm được thiết kế mửi Maelson (Đức) - Design in Germany</p></br>
<p>Dung tích: 1.5L, 2.5L</p></br>											","<h1 style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-2-860.jpg?v=1502437854870"" /></h1></br>
<h1>AQUAA™ 250 </h1></br>
<h2>Stylish gravity water dispenser, provides refreshment <br />
to your dog and /or cat throughout the day</h2></br>
<ul>
<li>Translucent bottle enables monitoring of water level at a glance</li>
<li>Anti-skid rubber feet keep unit from sliding and spilling when knocked</li>
<li>Practical rear recess handle allows for easy pick-up for cleaning and / or refilling</li>
<li>Smooth inner & outer surfaces make the bowl and bottle easy to clean</li>
<li>Dishwasher safe</li></ul>
<p style=""text-align: center;""><img alt="""" src=""http://www.maelson.de/tl_files/maelson/images/products/aquaa/overview-detail_new.gif"" /> <img data-thumb=""original"" original-height=""119"" original-width=""500"" src=""https://bizweb.dktcdn.net/100/092/797/files/41ec7awdcvl.jpg?v=1502438294928"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-1-860.jpg?v=1502438227185"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""grande"" original-height=""380"" original-width=""860"" src=""https://bizweb.dktcdn.net/thumb/grande/100/092/797/files/aquaa-3-860.jpg?v=1502438240600"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""456"" original-width=""500"" src=""https://bizweb.dktcdn.net/100/092/797/files/51ivvn1sfll.jpg?v=1502438098073"" /></p></br>
<p style=""text-align: center;""><img data-thumb=""original"" original-height=""500"" original-width=""500"" src=""https://bizweb.dktcdn.net/100/092/797/files/121211-aquaa-04.jpg?v=1502438173039"" /></p></br>
<p style=""text-align: center;""> </p></br>",,,taxable,,1,,0,0,,,,,1,,,270000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/aqua-fb41a6ae-0538-4b8a-b613-6a6836e4980b.jpg,,,,,,,,Mua ngay!,0
,simple,,Bình nước uống 1.5L,1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,180000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/1-5l-hong-1.jpg,,,,,,,,Mua ngay!,0
,simple,,Bình thức ăn 1.5L (1-1.5kg),1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,180000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/1-5l-xanh-1.jpg,,,,,,,,Mua ngay!,0
,simple,,Bình nước uống 2.5L,1,0,visible,"																							",,,,taxable,,1,,0,0,,,,,1,,,270000,Chó > CHUNG | Dụng cụ ăn uống,,,http://bizweb.dktcdn.net/100/092/797/products/2-5l-hong-1.jpg,,,,,,,,Mua ngay!,0
,simple,,Bình thức ăn 2.5L (2 - 2.5kg),1,0,visible,"												<p>Bình đựng hạt thức ăn cho chó mèo </p></br>
<p>Dung tích: 2.5L, có thể đựng từ 2 - 2.5kg hạt thức ăn tùy vào kích thước hạt</p></br>
