ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Tomlyn Nutri-Cal High Calorie Dietary Cat Supplement 120.5g,1,0,visible,"												<p>Gel dinh dưỡng dành cho mèo bổ sung dinh dưỡng hàm lượng cao</p></br>
<p>Bổ sung: protein, calo, omega 3,6 & 9</p></br>
<p>Sản phẩm của Tomlyn từ năm 1976, được nhập khẩu trực tiếp từ Mỹ</p></br>											","<ul>
<li>
<h3>Gel dinh dưỡng kích thích ăn ngon, tăng sự thèm ăn giúp mèo phát triển tốt</h3></br></li>
<li>Là thực phẩm bổ dưỡng tốt kể cả cho mèo nuôi thả tự nhiên năng vận động hoặc giai đoạn cần bổ sung dinh dưỡng cao</li>
<li>Bổ sung vitamin và năng lượng chính</li>
<li>Là nhãn hiệu lâu đời từ năm 1976</li>
<li>Dinh dưỡng:  protein, calo, omega 3, 6 & 9</li>
<li>Sản phẩm đảm bảo an toàn 100%</li>
<li>Sản phẩm của Tomlyn - Mỹ</li></ul>
<h3>Hướng dẫn cho ăn:</h3></br>
<ul>
<li>Để giới thiệu hương vị cho mèo, hãy đặt 1 lượng gel cạnh chân mèo của bạn hoặc để gần mũi, miệng</li>
<li>Để bổ sung thêm dinh dưỡng: 1.5 muỗng/ngày cho 5kg thể trọng (1 muỗng tương đương 5ml)</li>
<li>Trường hợp mèo của bạn ăn không đầy đủ hoặc lười ăn: 3 muỗng/ngày cho 5kg thể trọng</li></ul>
<p>----------------------------------------------------</p></br>
<h3><strong>NUTRI-CAL®</strong></h3></br>
<ul>
