ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí
,simple,,Khay vệ sinh cho Chó Purmi,1,0,visible,"																							","<p style=""text-align: center;""><img data-thumb=""original"" original-height=""1961"" original-width=""792"" src=""//bizweb.dktcdn.net/100/092/797/files/mesh-toilet-copy.jpg?v=1504326934791"" /><img data-thumb=""original"" original-height=""1414"" original-width=""786"" src=""//bizweb.dktcdn.net/100/092/797/files/mesh-toilet-copy-2.jpg?v=1504326951879"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,280000,Chó > CHÓ | Đi vệ sinh - Dog Toilet,,,http://bizweb.dktcdn.net/100/092/797/products/17-shop1-662562.jpg,,,,,,,,Mua ngay!,0
,simple,,Iris khay vệ sinh cho chó <10kg thành cao | トレーニング犬トイレ　TRT-500,1,0,visible,"												<p>Khay vệ sinh cho chó thành cao</p></br>
<p>Kích thước: 51 x 39 x 15.4 (cm)</p></br>
<p>Sản phẩm của Iris - Nhật Bản</p></br>											","<p>かわいいマカロンカラーで新登場！<br /> トイレトレーニングに最適な犬トイレです。<br /> シーツの上にスノコを取り付けて使用することで、犬がシーツをひっかいて破いたり、食べたりすることを防止します。<br /> 通常の犬トイレに比べて壁やフチが高いので、愛犬がトイレを覚えやすく、おしっこの飛び散り防止にも効果的です。<br /> トイレトレーニングが終わればスノコを取り外して通常のトイレとして使用することができます。<br /> 　シーツのヨレやシワを抑えるバックルが付きです。<br /> 銀イオンで臭いの元となる菌の発生を抑制します。</p></br>  <h3>●カラー：ミルキーピンク、ミルキーブルー、ミルキーブラウン<br /> ●商品サイズ（cm）<br /> TRT-500：幅約51.0×奥行約39.0×高さ約15.4<br /> <br /> ●重量<br /> TRT-500：約1.3kg<br /> <br /> ●適合シーツサイズ<br /> TRT-500：レギュラーサイズ（33×44cm）<br /> <br /> ●材質<br /> トレー・上枠・スノコ：ポリプロピレン<br /> バックル：ABS樹脂</h3></br>  <p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/311376-e.jpg?v=1481780190902"" /></p></br>  <p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/513pr6kgehl-sy450.jpg?v=1481780202897"" /></p></br>  <p style=""text-align: center;""><img src=""//bizweb.dktcdn.net/100/092/797/files/p311376f-id56273.jpg?v=1481780224607"" /></p></br>",,,taxable,,1,,0,0,,,,,1,,,369000,Chó > CHÓ | Đi vệ sinh - Dog Toilet,,,http://bizweb.dktcdn.net/100/092/797/products/p311376f-id56273.jpg,,,,,,,,Mua ngay!,0
,simple,,Makar khay vệ sinh chó size L | Dog toilet,1,0,visible,"												<p>Khay huấn luyện chó đi vệ sinh đúng chỗ, dùng để huấn luyện chó & cho chó đi vệ sinh vào khay</p></br>
<p>Sử dụng nhựa xử lý công nghệ Ag+ chống bám dính vi khuẩn</p></br>
<p>Sản phẩm của Makarpet</p></br>
<p>Kích thước: 41x61cm, gồm khay & cột</p></br>
<p>*Màu sắc ngẫu nhiên</p></br>											","<table cellpadding=""0"" cellspacing=""0"" width=""100%"">
<tbody>
<tr>
	<td valign=""top""><img src=""http://www.makarpet.com/uploadfile/78811336619632.gif"" /><br />
	<br />
	<img src=""http://www.makarpet.com/uploadfile/78811336619633.gif"" /></td>
	<td>
	<ul>
	<li>Only Makar can help your puppy not relieve the bowels indoor anywhere, and the original grille design can tactfully avoid urine splashing.</li>
	<li>Hard material will cause puppies foot pain, which will lead to the training failure.</li>
	<li>The grid is made of high quality resin composite material, soft, tough and resilient which is comfortable for purppies'step in the above.</li>
	<li>The elastic material can well absorb the urine spilled strength, so as to avoid urine splashing .This kind of material is still Makar's technical secret.</li>
	<li>The ones who forge the shape of Makar dog tray lavatory cannot forge its material.</li>
	<li>Inducer particles added in the grille will ensure your training success. It is distressed that how to train puppies defecating indoor. The original inducer in Makar effectively helps to attract puppies to the lavatory in the fixed position.</li>
	<li>The special coating helps not remain stains and odors, and rinse directly, saving time and labor.</li>
	<li>The target is designed for Boy Dogs.</li></ul></td>
</tr>
</tbody></table>
